Category,Score,Exchange,Contribution
"('EF v3.1 no LT', 'human toxicity: carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",1.0342847830986978e-09,H2,0.33164674156714513
"('EF v3.1 no LT', 'human toxicity: carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",5.6537572227460745e-12,C1C4,0.0018128954338067628
"('EF v3.1 no LT', 'human toxicity: carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",7.867950076691226e-11,H20,0.02522883492426487
"('EF v3.1 no LT', 'human toxicity: carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",1.606877290241094e-11,naphta,0.0051525037022211355
"('EF v3.1 no LT', 'human toxicity: carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",3.015022299701069e-11,jet fuel,0.009667765955643198
"('EF v3.1 no LT', 'human toxicity: carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",1.2047039286799762e-08,syngas,88.71168543890009
"('EF v3.1 no LT', 'human toxicity: carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",5.266177486322507e-13,heat CHP,0.0038778945557515626
"('EF v3.1 no LT', 'human toxicity: carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",6.09767849335558e-13,electricity CHP,0.004490193179687084
"('EF v3.1 no LT', 'human toxicity: carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",1.4790310737008658e-09,syncrude,10.891251886949266
"('EF v3.1 no LT', 'human toxicity: carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",5.13745101100469e-11,H2,0.3783103277046551
"('EF v3.1 no LT', 'human toxicity: carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",6.108216872415431e-14,C1C4,0.0004497953404800799
"('EF v3.1 no LT', 'human toxicity: carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",8.500390716533987e-13,H20,0.006259496374176998
"('EF v3.1 no LT', 'human toxicity: carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",1.7360411120349717e-13,naphta,0.0012783815954563553
"('EF v3.1 no LT', 'human toxicity: carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",3.2573754684142303e-13,jet fuel,0.0023986579692404724
"('EF v3.1 no LT', 'human toxicity: carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",2.6883767181263884e-07,syngas,90.1282705779267
"('EF v3.1 no LT', 'human toxicity: carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",1.469544791925377e-11,heat CHP,0.004926673026886651
"('EF v3.1 no LT', 'human toxicity: carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",1.7015779844145734e-11,electricity CHP,0.005704568111854549
"('EF v3.1 no LT', 'human toxicity: carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",2.8301973408083747e-08,syncrude,9.48828302229456
"('EF v3.1 no LT', 'human toxicity: carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",9.829102729886512e-10,H2,0.32952228175627346
"('EF v3.1 no LT', 'human toxicity: carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",5.592675054021921e-12,C1C4,0.0018749534881949209
"('EF v3.1 no LT', 'human toxicity: carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",7.782946169525887e-11,H20,0.026092454734146727
"('EF v3.1 no LT', 'human toxicity: carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",1.589516879120744e-11,naphta,0.005328881417683848
"('EF v3.1 no LT', 'human toxicity: carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",2.982448545016927e-11,jet fuel,0.009998707682506876
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",8.963433987307106e-07,syngas,92.1707139460351
